lat,lon
41.7725637689, -87.6324193182
41.7929745219, -87.6225685185
41.8911727354, -87.7053383382
41.8030397258, -87.6077548852
41.9712198343, -87.6612480605
41.7673529546, -87.5764779584
41.8781255904, -87.6791541271
41.9682242321, -87.7397474866
41.8131949278, -87.6263367998
41.9172552391, -87.7133892335
41.9098923382, -87.7160529794
41.9095901427, -87.6332454838
41.8648427949, -87.6935089238
